start,end,revenue,accn,fy,fp,form,filed,frame,researchanddevelopmentexpense,assets,assetscurrent,goodwill,intangibleassetsnetexcludinggoodwill,amortizationofintangibleassets,operatingincomeloss,capitalexpenditures,company_name,ticker,cik,intangibleassetsnetincludinggoodwill,days
2008-01-28,2009-01-25,3424859000,0001045810-10-000006,2010.0,FY,10-K,2010-03-18,,855879000.0,3350727000.0,2167958000.0,369844000.0,147101000.0,,-70700000.0,,NVIDIA CORP,NVDA,0001045810,,363
2009-01-26,2010-01-31,3326445000,0001045810-10-000006,2010.0,FY,10-K,2010-03-18,,908851000.0,3585918000.0,2480830000.0,369844000.0,120458000.0,,-98945000.0,77601000.0,NVIDIA CORP,NVDA,0001045810,,370
2010-02-01,2011-01-30,3543309000,0001045810-11-000015,2010.0,FY,10-K,2011-03-16,,848830000.0,4495246000.0,3226950000.0,369844000.0,288745000.0,,255747000.0,97890000.0,NVIDIA CORP,NVDA,0001045810,,363
2011-01-31,2012-01-29,3997930000,0001045810-13-000008,2012.0,FY,10-K,2013-03-12,,1002605000.0,5552928000.0,3905358000.0,641030000.0,326136000.0,59000000.0,648299000.0,138735000.0,NVIDIA CORP,NVDA,0001045810,,363
2012-01-30,2013-01-27,4280159000,0001045810-13-000008,2012.0,FY,10-K,2013-03-12,,1147282000.0,6412245000.0,4775258000.0,641030000.0,312332000.0,68400000.0,648239000.0,,NVIDIA CORP,NVDA,0001045810,,363
2013-01-28,2014-01-26,4130162000,0001045810-15-000036,2015.0,FY,10-K,2015-03-12,,1335834000.0,7250894000.0,5624711000.0,643179000.0,296012000.0,72700000.0,496227000.0,,NVIDIA CORP,NVDA,0001045810,,363
2014-01-27,2015-01-25,4682000000,0001045810-16-000205,2016.0,FY,10-K,2016-03-17,,1359725000.0,7201368000.0,5713297000.0,618179000.0,221714000.0,77000000.0,758989000.0,,NVIDIA CORP,NVDA,0001045810,,363
2015-01-26,2016-01-31,5010000000,0001045810-17-000027,2017.0,FY,10-K,2017-03-01,,1331000000.0,7370000000.0,6053000000.0,618000000.0,166000000.0,73000000.0,747000000.0,,NVIDIA CORP,NVDA,0001045810,,370
2017-01-30,2018-01-28,9714000000,0001045810-18-000010,2018.0,FY,10-K,2018-02-28,CY2017,1797000000.0,11241000000.0,9255000000.0,618000000.0,52000000.0,55000000.0,3210000000.0,,NVIDIA CORP,NVDA,0001045810,,363
2016-02-01,2017-01-29,6910000000,0001045810-19-000023,2019.0,FY,10-K,2019-02-21,CY2016,1463000000.0,9841000000.0,8536000000.0,618000000.0,104000000.0,68000000.0,1934000000.0,,NVIDIA CORP,NVDA,0001045810,,363
2018-01-29,2019-01-27,11716000000,0001045810-19-000023,2019.0,FY,10-K,2019-02-21,,2376000000.0,13292000000.0,10557000000.0,618000000.0,45000000.0,29000000.0,3804000000.0,,NVIDIA CORP,NVDA,0001045810,,363
2019-01-28,2020-01-26,10918000000,0001045810-20-000010,2020.0,FY,10-K,2020-02-20,,2829000000.0,17315000000.0,13690000000.0,618000000.0,49000000.0,25000000.0,2846000000.0,,NVIDIA CORP,NVDA,0001045810,,363
2020-01-27,2021-01-31,16675000000,0001045810-21-000010,2021.0,FY,10-K,2021-02-26,,3924000000.0,28791000000.0,16055000000.0,4193000000.0,2737000000.0,612000000.0,4532000000.0,,NVIDIA CORP,NVDA,0001045810,,370
2021-02-01,2022-01-30,26914000000,0001045810-22-000036,2022.0,FY,10-K,2022-03-18,CY2021,5268000000.0,44187000000.0,28829000000.0,4349000000.0,2339000000.0,563000000.0,10041000000.0,976000000.0,NVIDIA CORP,NVDA,0001045810,,363
2022-01-31,2023-01-29,26974000000,0001045810-23-000017,2023.0,FY,10-K,2023-02-24,,7339000000.0,41182000000.0,23073000000.0,4372000000.0,1676000000.0,699000000.0,4224000000.0,1833000000.0,NVIDIA CORP,NVDA,0001045810,,363
2023-01-30,2024-01-28,60922000000,0001045810-24-000029,2024.0,FY,10-K,2024-02-21,,8675000000.0,65728000000.0,44345000000.0,4430000000.0,1112000000.0,614000000.0,32972000000.0,1069000000.0,NVIDIA CORP,NVDA,0001045810,,363
2024-01-29,2025-01-26,130497000000,0001045810-25-000023,2025.0,FY,10-K,2025-02-26,CY2024,12914000000.0,111601000000.0,80126000000.0,5188000000.0,807000000.0,593000000.0,81453000000.0,3236000000.0,NVIDIA CORP,NVDA,0001045810,,363
2016-10-31,2017-10-29,17636000000,0001730168-19-000144,2019.0,FY,10-K,2019-12-20,,3292000000.0,54418000000.0,15823000000.0,24706000000.0,10120000000.0,4286000000.0,2383000000.0,1069000000.0,Broadcom Inc.,AVGO,0001730168,,363
2017-10-30,2018-11-04,20848000000,0001730168-20-000226,2020.0,FY,10-K,2020-12-18,CY2018,3768000000.0,50124000000.0,9107000000.0,26913000000.0,10498000000.0,3566000000.0,5135000000.0,635000000.0,Broadcom Inc.,AVGO,0001730168,,370
2018-11-05,2019-11-03,22597000000,0001730168-20-000226,2020.0,FY,10-K,2020-12-18,,4696000000.0,67493000000.0,9917000000.0,36714000000.0,17291000000.0,5239000000.0,1054000000.0,432000000.0,Broadcom Inc.,AVGO,0001730168,,363
2019-11-04,2020-11-01,23888000000,0001730168-20-000226,2020.0,FY,10-K,2020-12-18,,4968000000.0,75933000000.0,11895000000.0,43447000000.0,16757000000.0,,1526000000.0,463000000.0,Broadcom Inc.,AVGO,0001730168,,363
2020-11-02,2021-10-31,27450000000,0001730168-21-000153,2021.0,FY,10-K,2021-12-17,,4854000000.0,75570000000.0,16586000000.0,43450000000.0,11347000000.0,,8519000000.0,443000000.0,Broadcom Inc.,AVGO,0001730168,,363
2021-11-01,2022-10-30,33203000000,0001730168-22-000118,2022.0,FY,10-K,2022-12-16,,4919000000.0,73249000000.0,18504000000.0,43614000000.0,7082000000.0,,14225000000.0,424000000.0,Broadcom Inc.,AVGO,0001730168,,363
2022-10-31,2023-10-29,35819000000,0001730168-23-000096,2023.0,FY,10-K,2023-12-14,,5253000000.0,72861000000.0,20847000000.0,43653000000.0,3857000000.0,3247000000.0,16207000000.0,452000000.0,Broadcom Inc.,AVGO,0001730168,,363
2023-10-30,2024-11-03,51574000000,0001730168-24-000139,2024.0,FY,10-K,2024-12-20,,9310000000.0,165645000000.0,19595000000.0,97873000000.0,38243000000.0,9267000000.0,13463000000.0,548000000.0,Broadcom Inc.,AVGO,0001730168,,370
2024-11-04,2025-11-02,63887000000,0001730168-25-000121,2025.0,FY,10-K,2025-12-18,CY2025,10977000000.0,171092000000.0,31573000000.0,97801000000.0,31453000000.0,8062000000.0,25484000000.0,623000000.0,Broadcom Inc.,AVGO,0001730168,,363
2015-09-04,2016-09-01,12399000000,0000723125-16-000269,2016.0,FY,10-K,2016-10-28,,1617000000.0,27540000000.0,9495000000.0,104000000.0,464000000.0,117000000.0,-32000000.0,7011000000.0,MICRON TECHNOLOGY INC,MU,0000723125,,363
2016-09-02,2017-08-31,20322000000,0000723125-19-000094,2019.0,FY,10-K,2019-10-17,CY2017,1824000000.0,35336000000.0,12457000000.0,1228000000.0,387000000.0,106000000.0,2502000000.0,4734000000.0,MICRON TECHNOLOGY INC,MU,0000723125,,363
2017-09-01,2018-08-30,30391000000,0000723125-20-000082,2020.0,FY,10-K,2020-10-19,CY2018,2141000000.0,43376000000.0,16039000000.0,1228000000.0,331000000.0,,14994000000.0,8879000000.0,MICRON TECHNOLOGY INC,MU,0000723125,,363
